id,Y,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27
1,1,38733,61385,0,38,118751,1000,32020,1,121980,127959,1,120193,61742,117983,1,119757,119100,1,118830,1,1,126461,1,46871,,,
2,1,34248,51329,0,41,120800,1000,130630,1,124029,128342,2,122242,51686,121818,1,138110,121149,1,118832,1,1,130296,1,42386,,,
3,1,15830,5522,0,50,118779,1000,303218,2,122006,128299,1,120221,5879,118585,1,119777,119126,1,118832,1,2,127063,1,23968,,,
4,1,19417,6754,0,45,123163,2000,19024,1,126391,127968,1,124605,7111,6796,2,270637,123511,1,118832,1,1,15274,1,27555,,,
5,1,42122,16991,0,41,119193,1000,303218,1,122422,128299,1,120635,17348,125013,1,119777,119542,1,118832,1,1,133491,1,50260,,,
6,1,80917,20986,0,43,120061,2000,142803,1,123640,138314,1,121503,21343,123798,1,184371,120760,1,120057,1,1,132276,1,89055,,,
7,1,15851,53356,0,40,120822,1000,303218,1,124050,127961,1,122264,53713,122286,1,131956,121170,1,118832,1,1,130764,1,23989,,,
8,1,42296,4656,0,44,118779,1000,303218,1,122006,128342,1,120221,5013,120058,1,119777,119126,1,118832,1,1,128536,1,50434,,,
9,1,78876,42267,0,48,120064,2000,315517,1,123643,138325,1,121506,42624,118886,1,121648,120763,1,119703,2,1,127364,1,87014,,,
10,1,5674,2966,1,40,119650,1000,320873,1,122878,128315,1,121092,3323,225081,1,281314,119998,1,119186,1,1,233559,1,13812,,,
11,1,28924,70112,0,47,119622,1000,44319,1,123201,138022,1,121064,70469,118037,1,121992,120321,1,119765,1,1,126515,3,37062,,,
12,1,38650,17777,0,42,119558,8000,320873,1,122786,128412,1,121000,18134,122078,1,281314,119906,1,118832,1,1,130556,1,46788,,,
13,1,75985,139291,0,39,161531,1000,144293,1,165109,139690,1,162973,139648,118777,1,305461,162229,4,121433,1,1,127255,1,84123,,,
14,1,29359,54321,0,47,120970,2000,282787,1,124198,128326,1,122412,54678,118563,1,128210,121318,1,118832,2,1,127041,1,37497,,,
15,0,7672,4644,0,43,119657,2000,303218,1,122885,128051,1,121099,5001,120043,1,119777,120005,1,118832,1,1,128521,1,15810,,,
16,1,6673,7322,0,38,119797,2000,142485,1,123376,138223,1,121239,7679,118545,1,161797,120496,1,119703,1,1,127023,1,14811,,,
17,1,42995,19323,0,39,120381,1000,143236,1,123958,138223,1,121823,19680,121858,1,314331,121078,1,119703,1,1,130336,1,51133,,,
18,1,40446,7721,0,29,119147,1000,305094,1,122375,127943,1,120589,8078,118016,1,131153,119495,1,118814,1,1,126494,1,48584,,,
19,0,82589,27184,0,36,121693,1000,315517,1,125271,138341,1,123135,27541,122441,1,125092,122391,1,119703,1,1,130919,1,90727,,,
20,1,76517,20412,0,29,123002,1000,134215,1,126230,128051,1,124444,20769,120025,1,306928,123350,1,118832,1,1,128503,1,84655,,,
21,1,40263,18151,0,37,119868,4000,305094,1,123096,128573,1,121310,18508,118694,1,287977,120216,1,119444,1,1,127172,1,48401,,,
22,1,32686,801,0,35,122467,1000,16972,1,125695,128412,1,123909,1158,127593,1,128356,122815,1,118832,1,1,136071,1,40824,,,
23,1,32941,50374,0,42,120771,1000,32092,1,124000,127975,1,122213,50731,118881,1,312696,121120,1,118846,1,1,127359,1,41079,,,
24,1,44434,34630,0,41,118779,1000,303218,1,122006,128326,1,120221,34987,118391,1,242854,119126,1,118832,1,1,126869,1,52572,,,
25,1,26950,18704,1,41,119193,1000,303218,1,122422,128385,1,120635,19061,121954,1,119777,119542,1,118832,1,1,130432,1,35088,,,
26,1,26097,1061,0,31,119515,1000,130942,1,122742,128326,1,120957,1418,126381,1,308270,119862,1,118832,1,1,134859,1,34235,,,
27,1,77832,123350,0,35,119917,2000,274216,1,123494,138168,1,121359,123707,125999,1,121915,120614,1,119911,1,1,134477,1,85970,,,
28,1,3018,3912,0,34,119650,1000,315517,1,123227,138325,1,121092,4269,120460,1,121648,120347,1,119703,1,1,128938,1,11156,,,
29,1,4649,50497,0,43,120570,1000,143022,1,124148,138289,1,122012,50854,118773,1,315377,121268,1,120032,1,1,127251,1,12787,,,
30,1,7704,4761,0,46,118779,19000,303218,1,122006,129090,1,120221,5118,120734,1,119777,119126,1,119933,1,1,129212,1,15842,,,
31,1,43092,74446,0,42,120236,7000,130966,1,123464,128025,1,121678,74803,119433,1,309081,120584,1,92132,1,1,127911,2,51230,,,
32,1,77076,71226,0,41,121706,3000,142803,1,125284,138384,1,123148,71583,122025,1,134930,122404,1,119703,1,1,130503,1,85214,,,
33,1,41918,59767,0,45,137573,1000,136786,1,140802,128315,1,139015,60124,118535,1,164053,137922,1,119186,1,1,127013,1,50056,,,
34,1,3967,31614,0,42,119622,1000,44319,1,123201,138489,1,121064,31971,118083,1,121628,120321,1,12888,1,1,126561,1,12105,,,
35,1,28123,8645,0,41,121174,3000,132601,1,124401,129090,1,122616,9002,120370,1,122172,121521,1,119933,1,1,128848,1,36261,,,
36,1,40716,9415,0,37,119630,1000,142485,1,123207,137909,1,121072,9772,118026,1,121655,120327,1,119652,1,1,126504,1,48854,,,
37,1,22456,6089,0,44,119193,1000,303218,1,122422,128412,1,120635,6446,122078,1,120319,119542,1,118832,1,1,130556,1,30594,,,
38,1,3012,3875,0,36,119650,3000,315517,1,123227,138223,2,121092,4232,120066,1,244725,120347,1,119703,1,2,128544,1,11150,,,
39,1,3579,125503,0,41,120607,1000,142996,1,124185,137901,1,122049,125860,120313,1,168788,121305,1,119644,1,1,128791,1,11717,,,
40,1,45875,56643,0,44,119622,1000,44319,1,123201,138078,1,121064,57000,118020,1,308261,120321,1,119821,1,1,126498,1,54013,,,
41,1,45780,7728,0,47,119147,1000,305094,1,122375,128040,1,120589,8085,118694,1,120677,119495,1,118773,1,1,127172,1,53918,,,
42,0,78422,4256,0,37,122057,1000,143022,1,125635,138298,1,123499,4613,120454,1,160976,122755,1,119703,1,1,128932,1,86560,,,
43,1,81146,6908,0,41,119193,14000,303218,1,122422,128445,1,120635,7265,120388,1,119777,119542,1,118832,1,1,128866,1,89284,,,
44,0,43092,15907,0,36,119576,1000,131003,1,122803,128051,2,121018,16264,120488,1,126918,119923,1,118832,1,1,128966,1,51230,,,
45,1,5674,49868,0,43,119132,9000,303218,1,122360,128412,1,120574,50225,122078,2,211923,119480,1,118832,1,1,130556,1,13812,,,
46,1,17882,21317,0,36,122434,1000,315517,1,126012,138384,1,123876,21674,120503,1,131664,123132,1,119703,1,4,128981,1,26020,,,
47,1,43030,13869,0,37,119203,1000,130630,1,311125,128385,1,120645,14226,118593,1,296356,308245,1,118832,1,1,127071,1,51168,,,
48,1,77832,2474,0,46,127829,1000,143819,1,131407,138289,1,129271,2831,19914,1,256889,128527,1,120032,1,1,28392,1,85970,,,
49,1,26910,88607,0,34,120064,1000,315517,1,123643,138411,2,121506,88964,120512,1,121648,120763,1,119703,1,1,128990,1,35048,,,
50,1,79183,833,0,34,118779,1000,303218,1,122006,128299,1,120221,1190,123790,1,119777,119126,1,118832,1,1,132268,1,87321,,,
51,1,2915,781,0,48,119650,1000,315517,1,123227,138298,1,121092,1138,120864,1,121648,120347,1,119703,1,1,129342,2,11053,,,
52,1,43030,17635,0,44,119193,1000,303218,1,122422,128385,1,120635,17992,119285,1,119777,119542,1,118832,1,1,127763,1,51168,,,
53,1,87942,7557,0,44,118779,1000,303218,1,122006,128342,1,120221,7914,120058,1,119777,119126,1,118832,1,1,128536,1,96080,,,
54,1,21896,17938,0,43,119684,6000,32092,1,122912,127961,1,121126,18295,118034,1,288468,120032,1,118832,1,1,126512,1,30034,,,
55,1,79569,50832,0,39,120065,7000,131483,1,123293,127989,1,121507,51189,131939,2,279686,120413,1,118860,1,1,140417,1,87707,,,
56,1,27359,22871,0,48,120722,1000,130937,1,123950,128385,1,122164,23228,118967,1,184624,121070,1,118832,1,1,127445,1,35497,,,
57,1,5674,788,0,40,119325,2000,130752,1,122552,128342,1,120767,1145,119252,1,132005,119672,1,118832,1,1,127730,1,13812,,,
58,1,39787,1153,0,42,119650,10000,315517,1,123227,138341,1,121092,1510,123596,1,121648,120347,1,119703,1,1,132074,1,47925,,,
59,1,82136,4696,0,41,120528,1000,315517,1,124106,138223,1,121970,5053,120805,1,150856,121226,1,119703,1,1,129283,1,90274,,,
60,1,82840,6262,0,35,120228,3000,142485,1,123690,138341,1,121670,6619,118579,1,142860,120810,1,119703,1,1,127057,1,90978,,,
61,1,81075,27232,0,32,119558,2000,320873,1,122786,128385,1,121000,27589,118804,1,281314,119906,1,118832,1,1,127282,1,89213,,,
62,1,16368,50754,0,46,119193,3000,303218,1,122422,128051,1,120635,51111,118892,1,242854,119542,1,118832,1,1,127370,1,24506,,,
63,1,35640,58115,0,39,120312,1000,44319,1,123890,51008,1,121754,58472,118054,1,122518,121010,1,119927,1,1,126532,1,43778,,,
64,1,29485,48474,0,50,118751,2000,32020,1,121980,127935,1,120193,48831,117949,1,119750,119100,1,118806,1,1,126427,1,37623,,,
65,1,17250,6039,0,40,118779,1000,303218,1,122006,128412,1,120221,6396,122078,1,174506,119126,1,118832,1,1,130556,1,25388,,,
66,1,83257,101829,0,37,125414,2000,146514,1,128992,138384,1,126856,102186,120819,1,308799,126112,1,119703,1,1,129297,1,91395,,,
67,1,5674,7666,0,38,118779,1000,303218,1,122006,128299,1,120221,8023,119266,1,119777,119126,1,118832,1,1,127744,1,13812,,,
68,1,36492,17808,0,44,118779,5000,303218,1,122006,128224,1,120221,18165,119995,1,119777,119126,1,118832,1,1,128473,1,44630,,,
69,1,82777,4309,0,36,124789,1000,145116,1,128367,138341,1,126231,4666,120808,1,126849,125487,1,119703,1,1,129286,1,90915,,,
70,1,81666,18704,0,33,118779,2000,303218,1,122006,128385,1,120221,19061,121954,1,119777,119126,1,118832,1,1,130432,1,89804,,,
